Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
86956,560,17,,,,,,,
86959,500,4,,,,,,,
86961,504,0,1a,1,,,,,
86965,513,0,0,0,0,,,,
86969,500,4,,,,,,,
86970,548,0e,d0,0,90,c0,0,,
86970,524,0,0,0,0,5,0,5,9
86971,512,0,0,0,0,,,,
86972,504,0,1a,1,,,,,
86973,540,8,a0,0,0c,b0,0,,
86973,534,48,8,,,,,,
86976,544,0a,90,0,8,30,5,,
86978,508,0,0,0,0,3,,,
86981,509,ac,5,f4,1,60,3,,
86981,538,0,0,aa,2,aa,2,0e,2
86981,500,4,,,,,,,
86983,504,0,1a,1,,,,,
86988,520,0,9,5,5,3,5,5,4
86991,500,4,,,,,,,
86991,513,0,0,0,0,,,,
86994,504,0,1a,1,,,,,
86995,534,4a,8,,,,,,
86997,512,0,0,0,0,,,,
87000,52c,0,,,,,,,
87000,50c,a4,5,1,,,,,
87002,500,4,,,,,,,
87003,54c,0c,c0,0,0c,90,0,,
87005,504,0,1a,1,,,,,
87011,510,78,5,0,,,,,
87013,500,4,,,,,,,
87015,534,51,8,,,,,,
87016,504,0,1a,1,,,,,
87017,513,0,0,0,0,,,,
87022,548,0f,d0,0,90,c0,0,,
87023,524,0,0,0,0,5,0,5,9
87023,528,0,,,,,,,
87023,512,0,0,0,0,,,,
87023,564,17,,,,,,,
87024,500,4,,,,,,,
87025,540,7,a0,0,0c,b0,0,,
87026,544,0a,90,0,8,40,5,,
87027,504,0,1a,1,,,,,
87029,508,0,0,0,0,3,,,
87032,509,a9,5,f5,1,5d,3,,
87032,538,0,0,aa,2,aa,2,0a,2
87035,500,4,,,,,,,
87036,514,0,4,0,,,,,
87037,534,48,8,,,,,,
87038,504,0,1a,1,,,,,
87040,520,0,9,5,5,3,5,5,4
87043,513,0,0,0,0,,,,
87046,500,4,,,,,,,
87049,50c,99,5,1,,,,,
87052,504,0,1a,1,,,,,
87052,512,0,0,0,0,,,,
87055,550,17,17,17,0,,,,
87055,54c,0c,c0,0,0c,90,0,,
87057,500,4,,,,,,,
87059,534,47,8,,,,,,
87060,504,0,1a,1,,,,,
87068,500,4,,,,,,,
87069,513,0,0,0,0,,,,
87071,504,0,1a,1,,,,,
87074,570,17,,,,,,,
87074,548,0f,d0,0,9e,c0,0,,
87074,524,0,0,0,0,5,0,5,9
87075,512,0,0,0,0,,,,
87075,540,7,90,0,0c,b0,0,,
87079,500,4,,,,,,,
87080,508,0,0,0,0,3,,,
87080,509,ae,5,f4,1,5d,3,,
87080,538,0,0,aa,2,aa,2,0a,2
87080,544,0a,90,0,7,30,5,,
87083,534,50,8,,,,,,
87084,504,0,1a,1,,,,,
87090,500,4,,,,,,,
87091,520,0,9,5,5,3,5,5,4
87093,568,18,,,,,,,
87093,504,0,1a,1,,,,,
