Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
21550	54c	0c	c0	0	0c	90	0		
21551	560	18							
21551	504	0	1a	1					
21551	500	4							
21551	534	75	8						
21553	524	0	0	0	0	5	0	5	9
21553	513	0	0	0	0				
21554	544	0b	a0	0	9	c0	5		
21558	520	0	9	5	5	3	5	5	4
21561	504	0	1a	1					
21564	500	4							
21564	508	ff	ff	0	0	0			
21564	509	0	0	0	0	0	0		
21566	538	0	0	0	0	0	0	0	0
21572	504	0	1a	1					
21572	534	74	8						
21573	512	0	0	0	0				
21574	510	7a	5	0					
21574	500	4							
21579	513	0	0	0	0				
21582	528	0							
21583	504	0	1a	1					
21584	500	4							
21586	50c	87	1	0					
21590	540	8	b0	0	0d	c0	0		
21594	534	63	8						
21594	504	0	1a	1					
21595	500	4							
21599	548	10	d0	0	8a	c0	0		
21599	512	0	0	0	0				
21602	54c	0c	c0	0	0c	90	0		
21605	524	0	0	0	0	5	0	5	9
21605	504	0	1a	1					
21605	544	0c	a0	0	9	c0	5		
21605	513	0	0	0	0				
21606	500	4							
21606	52c	0							
21609	520	0	9	5	5	3	5	5	4
21613	508	ff	ff	0	0	0			
21613	509	0	0	0	0	0	0		
21616	538	0	0	0	0	0	0	0	0
21616	534	75	8						
21616	504	0	1a	1					
21617	500	4							
21625	512	0	0	0	0				
21627	504	0	1a	1					
21630	500	4							
21630	514	0	2	0					
21631	564	18							
21631	513	0	0	0	0				
21637	50c	87	1	0					
21638	534	73	8						
21638	504	0	1a	1					
21641	500	4							
21642	540	8	a0	0	0d	c0	0		
21646	550	19	19	19	0				
21649	504	0	1a	1					
21651	548	0f	d0	0	4b	c0	0		
21651	54c	0c	d0	0	0c	90	0		
21651	512	0	0	0	0				
21654	500	4							
21656	524	0	0	0	0	5	0	5	9
21657	544	0b	a0	0	9	b0	5		
21657	513	0	0	0	0				
21658	534	64	8						
21660	504	0	1a	1					
21661	520	0	9	5	5	3	5	5	4
21663	500	4							
21664	508	ff	ff	0	0	0			
21664	509	0	0	0	0	0	0		
21667	538	0	0	0	0	0	0	0	0
21667	570	19							
21671	504	0	1a	1					
21673	554	0	0	0	0				
21674	500	4							
21676	510	7a	5	0					
21677	512	0	0	0	0				
21680	534	74	8						
21682	504	0	1a	1					
21683	528	0							
21685	513	0	0	0	0				
21686	500	4							
21688	50c	85	1	0					
21688	568	18							
21692	540	8	a0	0	0d	c0	0		
21693	504	0	1a	1					
21694	56c	19							
21696	500	4							
21702	548	0f	d0	0	97	c0	0		
21702	54c	0c	c0	0	0c	90	0		
21705	534	73	8						
21705	512	0	0	0	0				
21705	504	0	1a	1					
21707	500	4							
21707	524	0	0	0	0	5	0	5	9
21707	544	0b	a0	0	8	c0	5		
21709	52c	0							
21709	513	0	0	0	0				
21711	520	0	9	5	5	3	5	5	4
21715	508	ff	ff	0	0	0			
21718	55c	18							
21718	509	0	0	0	0	0	0		
21719	538	0	0	0	0	0	0	0	0
21719	504	0	1a	1					
21719	500	4							
21723	534	63	8						
21726	504	0	1a	1					
21729	500	4							
21729	512	0	0	0	0				
21731	514	0	2	0					
21734	564	18							
21735	513	0	0	0	0				
21737	504	0	1a	1					
21739	50c	82	1	0					
21742	500	4							
21744	540	8	a0	0	0d	c0	0		
21745	534	73	8						
21748	504	0	1a	1					
21749	560	18							
21752	500	4							
21755	548	0f	d0	0	6c	c0	0		
21755	54c	0c	c0	0	0c	90	0		
21755	512	0	0	0	0				
21759	544	0b	a0	0	9	b0	5		
21759	524	0	0	0	0	5	0	5	9
21759	504	0	1a	1					
21761	513	0	0	0	0				
21763	520	0	9	5	5	3	5	5	4
21763	500	4							
21766	508	ff	ff	0	0	0			
21768	509	0	0	0	0	0	0		
21769	538	0	0	0	0	0	0	0	0
21769	534	72	8						
21770	504	0	1a	1					
21774	500	4							
21777	510	79	5	0					
21781	504	0	1a	1					
21781	512	0	0	0	0				
21783	528	0							
21785	500	4							
21788	534	65	8						
21788	513	0	0	0	0				
21790	50c	83	1	0					
21792	504	0	1a	1					
21794	540	8	a0	0	0d	c0	0		
21798	500	4							
21803	504	0	1a	1					
21805	548	10	d0	0	73	c0	0		
21805	54c	0c	c0	0	0c	90	0		
21807	512	0	0	0	0				
21810	500	4							
21810	544	0c	a0	0	9	b0	5		
21810	534	74	8						
21811	52c	0							
21811	524	0	0	0	0	5	0	5	9
21813	520	0	9	5	5	3	5	5	4
21813	513	0	0	0	0				
21814	504	0	1a	1					
21817	508	ff	ff	0	0	0			
21817	509	0	0	0	0	0	0		
21820	538	0	0	0	0	0	0	0	0
21820	500	4							
21825	504	0	1a	1					
21830	500	4							
21831	534	71	8						
21832	514	0	2	0					
21833	564	18							
21833	512	0	0	0	0				
21836	504	0	1a	1					
21839	513	0	0	0	0				
21842	500	4							
21842	50c	86	1	0					
21846	550	19	19	18	0				
21846	540	8	a0	0	0d	c0	0		
21847	504	0	1a	1					
21853	534	64	8						
21854	500	4							
21856	548	0f	d0	0	73	c0	0		
21856	54c	0c	d0	0	0c	90	0		
21858	504	0	1a	1					
21861	512	0	0	0	0				
21861	544	0b	a0	0	8	b0	5		
21862	524	0	0	0	0	5	0	5	9
21865	500	4							
21865	520	0	9	5	5	3	5	5	4
21865	513	0	0	0	0				
21867	570	19							
21868	509	0	0	0	0	0	0		
21868	538	0	0	0	0	0	0	0	0
21868	508	ff	ff	0	0	0			
